step,timestamp,event_type,entity_id,details
7,2025-10-10T01:42:35.179266,patron_state_change,P009,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""family"", ""position"": [23, 1]}"
7,2025-10-10T01:42:35.179269,patron_state_change,P020,"{""from_state"": ""spawning"", ""to_state"": ""roaming"", ""patron_type"": ""adventurer"", ""position"": [23, 1]}"
7,2025-10-10T01:42:35.179271,patron_state_change,P021,"{""from_state"": ""spawning"", ""to_state"": ""roaming"", ""patron_type"": ""family"", ""position"": [1, 2]}"
7,2025-10-10T01:42:35.179272,patron_state_change,P022,"{""from_state"": ""spawning"", ""to_state"": ""roaming"", ""patron_type"": ""impatient"", ""position"": [23, 1]}"
7,2025-10-10T01:42:35.179274,patron_state_change,P029,"{""from_state"": ""spawning"", ""to_state"": ""roaming"", ""patron_type"": ""family"", ""position"": [23, 1]}"
7,2025-10-10T01:42:35.179276,patron_state_change,P042,"{""from_state"": ""spawning"", ""to_state"": ""roaming"", ""patron_type"": ""impatient"", ""position"": [23, 1]}"
7,2025-10-10T01:42:35.179278,patron_state_change,P048,"{""from_state"": ""spawning"", ""to_state"": ""roaming"", ""patron_type"": ""adventurer"", ""position"": [1, 2]}"
7,2025-10-10T01:42:35.179280,patron_state_change,P049,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""family"", ""position"": [23, 1]}"
7,2025-10-10T01:42:35.179282,patron_state_change,P052,"{""from_state"": ""spawning"", ""to_state"": ""roaming"", ""patron_type"": ""adventurer"", ""position"": [1, 2]}"
8,2025-10-10T01:42:35.388268,patron_state_change,P002,"{""from_state"": ""queueing"", ""to_state"": ""riding"", ""patron_type"": ""impatient"", ""position"": [23, 1]}"
8,2025-10-10T01:42:35.388275,patron_state_change,P008,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""adventurer"", ""position"": [1, 2]}"
8,2025-10-10T01:42:35.388277,patron_state_change,P018,"{""from_state"": ""queueing"", ""to_state"": ""riding"", ""patron_type"": ""impatient"", ""position"": [1, 2]}"
8,2025-10-10T01:42:35.388279,patron_state_change,P029,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""family"", ""position"": [23, 1]}"
9,2025-10-10T01:42:35.615227,patron_state_change,P006,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""impatient"", ""position"": [1.7525766947068777, 2.658504607868518]}"
9,2025-10-10T01:42:35.615235,patron_state_change,P007,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""explorer"", ""position"": [1.685619930279656, 2.141157044469341]}"
9,2025-10-10T01:42:35.615237,patron_state_change,P008,"{""from_state"": ""queueing"", ""to_state"": ""riding"", ""patron_type"": ""adventurer"", ""position"": [1, 2]}"
9,2025-10-10T01:42:35.615239,patron_state_change,P011,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""explorer"", ""position"": [2.371239860559312, 2.2823140889386817]}"
9,2025-10-10T01:42:35.615241,patron_state_change,P016,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""adventurer"", ""position"": [2.492820323027551, 1.6]}"
9,2025-10-10T01:42:35.615243,patron_state_change,P028,"{""from_state"": ""queueing"", ""to_state"": ""riding"", ""patron_type"": ""adventurer"", ""position"": [1, 2]}"
9,2025-10-10T01:42:35.615245,patron_state_change,P032,"{""from_state"": ""queueing"", ""to_state"": ""riding"", ""patron_type"": ""adventurer"", ""position"": [1, 2]}"
9,2025-10-10T01:42:35.615246,patron_state_change,P035,"{""from_state"": ""queueing"", ""to_state"": ""riding"", ""patron_type"": ""explorer"", ""position"": [1, 2]}"
9,2025-10-10T01:42:35.615248,patron_state_change,P036,"{""from_state"": ""queueing"", ""to_state"": ""riding"", ""patron_type"": ""adventurer"", ""position"": [1, 2]}"
9,2025-10-10T01:42:35.615249,patron_state_change,P040,"{""from_state"": ""queueing"", ""to_state"": ""riding"", ""patron_type"": ""adventurer"", ""position"": [1, 2]}"
9,2025-10-10T01:42:35.615252,patron_state_change,P044,"{""from_state"": ""queueing"", ""to_state"": ""riding"", ""patron_type"": ""adventurer"", ""position"": [1, 2]}"
9,2025-10-10T01:42:35.615253,patron_state_change,P048,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""adventurer"", ""position"": [1.7835656346053212, 2.1613223365363896]}"
9,2025-10-10T01:42:35.615255,patron_state_change,P052,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""adventurer"", ""position"": [1.6020613557655023, 2.5268036862948144]}"
9,2025-10-10T01:42:35.615258,ride_state_change,Ride1,"{""from_state"": ""loading"", ""to_state"": ""running"", ""capacity"": 12, ""current_riders"": 9, ""queue_length"": 6}"
10,2025-10-10T01:42:35.841305,patron_state_change,P010,"{""from_state"": ""queueing"", ""to_state"": ""riding"", ""patron_type"": ""impatient"", ""position"": [23, 1]}"
11,2025-10-10T01:42:36.071549,patron_state_change,P000,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""adventurer"", ""position"": [21.216094049006806, 2.605515355893879]}"
11,2025-10-10T01:42:36.071557,patron_state_change,P003,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""explorer"", ""position"": [19.604501249491346, 1.8488746876271651]}"
11,2025-10-10T01:42:36.071560,patron_state_change,P009,"{""from_state"": ""queueing"", ""to_state"": ""riding"", ""patron_type"": ""family"", ""position"": [23, 1]}"
11,2025-10-10T01:42:36.071562,patron_state_change,P013,"{""from_state"": ""queueing"", ""to_state"": ""riding"", ""patron_type"": ""family"", ""position"": [23, 1]}"
11,2025-10-10T01:42:36.071563,patron_state_change,P014,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""impatient"", ""position"": [15.0, 1.0]}"
11,2025-10-10T01:42:36.071565,patron_state_change,P015,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""explorer"", ""position"": [18.100000000000005, 1.0]}"
11,2025-10-10T01:42:36.071568,patron_state_change,P029,"{""from_state"": ""queueing"", ""to_state"": ""riding"", ""patron_type"": ""family"", ""position"": [23, 1]}"
11,2025-10-10T01:42:36.071570,patron_state_change,P049,"{""from_state"": ""queueing"", ""to_state"": ""riding"", ""patron_type"": ""family"", ""position"": [23, 1]}"
11,2025-10-10T01:42:36.071571,patron_state_change,P053,"{""from_state"": ""queueing"", ""to_state"": ""riding"", ""patron_type"": ""family"", ""position"": [23, 1]}"
11,2025-10-10T01:42:36.071574,ride_state_change,Ride2,"{""from_state"": ""loading"", ""to_state"": ""running"", ""capacity"": 20, ""current_riders"": 8, ""queue_length"": 4}"
17,2025-10-10T01:42:37.590098,patron_state_change,P024,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""adventurer"", ""position"": [12.75681698329428, 1.8758650857889456]}"
18,2025-10-10T01:42:37.858380,patron_state_change,P006,"{""from_state"": ""queueing"", ""to_state"": ""roaming"", ""patron_type"": ""impatient"", ""position"": [1.7525766947068777, 2.658504607868518]}"
18,2025-10-10T01:42:37.858393,patron_state_change,P014,"{""from_state"": ""queueing"", ""to_state"": ""roaming"", ""patron_type"": ""impatient"", ""position"": [15.0, 1.0]}"
18,2025-10-10T01:42:37.858395,patron_state_change,P019,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""explorer"", ""position"": [18.673122898127005, 4.423312550038115]}"
20,2025-10-10T01:42:38.426494,patron_state_change,P007,"{""from_state"": ""queueing"", ""to_state"": ""roaming"", ""patron_type"": ""explorer"", ""position"": [1.685619930279656, 2.141157044469341]}"
21,2025-10-10T01:42:38.727954,patron_state_change,P015,"{""from_state"": ""queueing"", ""to_state"": ""roaming"", ""patron_type"": ""explorer"", ""position"": [18.100000000000005, 1.0]}"
21,2025-10-10T01:42:38.727973,patron_state_change,P022,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""impatient"", ""position"": [18.232134684994787, 4.481630548433839]}"
22,2025-10-10T01:42:39.035213,patron_state_change,P052,"{""from_state"": ""queueing"", ""to_state"": ""roaming"", ""patron_type"": ""adventurer"", ""position"": [1.6020613557655023, 2.5268036862948144]}"
23,2025-10-10T01:42:39.360566,patron_state_change,P003,"{""from_state"": ""queueing"", ""to_state"": ""roaming"", ""patron_type"": ""explorer"", ""position"": [19.604501249491346, 1.8488746876271651]}"
23,2025-10-10T01:42:39.360582,patron_state_change,P015,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""explorer"", ""position"": [17.400000000000006, 1.0]}"
23,2025-10-10T01:42:39.360586,patron_state_change,P052,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""adventurer"", ""position"": [2.2041227115310047, 3.053607372589629]}"
25,2025-10-10T01:42:40.018601,patron_state_change,P048,"{""from_state"": ""queueing"", ""to_state"": ""roaming"", ""patron_type"": ""adventurer"", ""position"": [1.7835656346053212, 2.1613223365363896]}"
26,2025-10-10T01:42:40.350459,patron_state_change,P011,"{""from_state"": ""queueing"", ""to_state"": ""roaming"", ""patron_type"": ""explorer"", ""position"": [2.371239860559312, 2.2823140889386817]}"
26,2025-10-10T01:42:40.350471,patron_state_change,P014,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""impatient"", ""position"": [7.0, 1.0]}"
26,2025-10-10T01:42:40.350473,patron_state_change,P015,"{""from_state"": ""queueing"", ""to_state"": ""roaming"", ""patron_type"": ""explorer"", ""position"": [17.400000000000006, 1.0]}"
26,2025-10-10T01:42:40.350475,patron_state_change,P027,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""explorer"", ""position"": [17.204499436924618, 1.4852631431942358]}"
26,2025-10-10T01:42:40.350478,patron_state_change,P048,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""adventurer"", ""position"": [2.3814922114378096, 2.692814395477426]}"
27,2025-10-10T01:42:40.697800,patron_state_change,P048,"{""from_state"": ""queueing"", ""to_state"": ""roaming"", ""patron_type"": ""adventurer"", ""position"": [2.3814922114378096, 2.692814395477426]}"
28,2025-10-10T01:42:41.078361,patron_state_change,P022,"{""from_state"": ""queueing"", ""to_state"": ""roaming"", ""patron_type"": ""impatient"", ""position"": [18.232134684994787, 4.481630548433839]}"
28,2025-10-10T01:42:41.078373,patron_state_change,P043,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""explorer"", ""position"": [14.241439514811184, 4.1342656073566415]}"
28,2025-10-10T01:42:41.078375,patron_state_change,P048,"{""from_state"": ""roaming"", ""to_state"": ""queueing"", ""patron_type"": ""adventurer"", ""position"": [2.3814922114378096, 2.692814395477426]}"
