visitor_id,visitor_type,step,timestamp,event_type,ride_name,queue_position,wait_time,details
P028,adventurer,113,2025-10-11T03:12:16.615029,departed,,,,"{""total_rides"": 0}"
P029,family,56,2025-10-11T03:12:15.985993,joined_queue,Ride2,8,,"{""ride_name"": ""Ride2"", ""queue_position"": 8}"
P029,family,64,2025-10-11T03:12:16.158677,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 64, ""ride_id"": ""Ride2"", ""queue_len"": 8, ""patience_at_leave"": 10}"
P029,family,87,2025-10-11T03:12:16.382781,joined_queue,Ride2,8,,"{""ride_name"": ""Ride2"", ""queue_position"": 8}"
P029,family,88,2025-10-11T03:12:16.387604,boarded_ride,Ride2,,7,"{""ride_name"": ""Ride2""}"
P029,family,130,2025-10-11T03:12:16.748002,completed_ride,,,,"{""previous_ride"": ""Ride2""}"
P029,family,133,2025-10-11T03:12:16.789435,boarded_ride,Ride2,,7,"{""ride_name"": ""Ride2""}"
P029,family,176,2025-10-11T03:12:17.004174,joined_queue,Ride2,2,,"{""ride_name"": ""Ride2"", ""queue_position"": 2}"
P029,family,183,2025-10-11T03:12:17.012770,boarded_ride,Ride2,,7,"{""ride_name"": ""Ride2""}"
P030,impatient,173,2025-10-11T03:12:17.002032,departed,,,,"{""total_rides"": 0}"
P031,explorer,96,2025-10-11T03:12:16.457555,departed,,,,"{""total_rides"": 0}"
P032,adventurer,159,2025-10-11T03:12:16.990008,departed,,,,"{""total_rides"": 0}"
P033,family,198,2025-10-11T03:12:17.026722,departed,,,,"{""total_rides"": 0}"
P034,impatient,17,2025-10-11T03:12:15.270983,joined_queue,Ride1,2,,"{""ride_name"": ""Ride1"", ""queue_position"": 2}"
P034,impatient,20,2025-10-11T03:12:15.314335,boarded_ride,Ride1,,3,"{""ride_name"": ""Ride1""}"
P034,impatient,56,2025-10-11T03:12:15.990387,completed_ride,,,,"{""previous_ride"": ""Ride1""}"
P035,explorer,82,2025-10-11T03:12:16.336199,departed,,,,"{""total_rides"": 0}"
P037,family,109,2025-10-11T03:12:16.591183,departed,,,,"{""total_rides"": 0}"
